PROVINCENAME,M,REGION,,PROVINCE,BARANGAY,MUNICIPALITY,CATEGORY,MSP NAME,REMARKS
RIZAL,PROBUS VENTURES INC. (PVI),SLZ,,NUEVA ECIJA,,,MSP,NORTHERLY DIGITAL SERVICES INC. (NDSI),
OCCIDENTAL MINDORO,Optimus,SLZ,SUPER MSA SLI,PAMPANGA,,,MSP,"MAGNUS BUSINESS SOLUTIONS, INC",
PALAWAN,Optimus,SLZ,SUPER MSA SLI,TARLAC,,,MSP,"MAGNUS BUSINESS SOLUTIONS, INC",
ALBAY,RAVENOUS COMMUNICATION INC.,BICOL,,ZAMBALES,,,MSP,PROBUS VENTURES INC. (PVI),
CAMARINES NORTE,RAVENOUS COMMUNICATION INC.,BICOL,,BATAAN,,,MSP,PROBUS VENTURES INC. (PVI),
CAMARINES SUR,RAVENOUS COMMUNICATION INC.,BICOL,,RIZAL,,,MSP,PROBUS VENTURES INC. (PVI),
MASBATE,RAVENOUS COMMUNICATION INC.,BICOL,,BATANGAS,,,MSP,AMBTEL CORPORATION,
SORSOGON,RAVENOUS COMMUNICATION INC.,BICOL,,ORIENTAL MINDORO,,,MSP,MYFI NETWORK INC.,
MISAMIS ORIENTAL,BLACKLINE REPUBLIC OPC,MIN,,ALBAY,,,MSP,RAVENOUS COMMUNICATION INC.,
COTABATO,FIDELITY TECHNICAL SERVICES CORP,MIN,,CAMARINES NORTE,,,MSP,RAVENOUS COMMUNICATION INC.,
SARANGANI,FIDELITY TECHNICAL SERVICES CORP,MIN,,CAMARINES SUR,,,MSP,RAVENOUS COMMUNICATION INC.,
SOUTH COTABATO,FIDELITY TECHNICAL SERVICES CORP,MIN,,MASBATE,,,MSP,RAVENOUS COMMUNICATION INC.,
NORTH COTABATO,FIDELITY TECHNICAL SERVICES CORP,MIN,,SORSOGON,,,MSP,RAVENOUS COMMUNICATION INC.,
AGUSAN DEL NORTE,JRT TELECOM ENTERPRISE INC (JRT),MIN,,AKLAN,,,MSP,"QUANTUM DIGITAL SERVICES, INC",
AGUSAN DEL SUR,JRT TELECOM ENTERPRISE INC (JRT),MIN,,CAPIZ,,,MSP,"QUANTUM DIGITAL SERVICES, INC",
SURIGAO DEL NORTE,JRT TELECOM ENTERPRISE INC (JRT),MIN,,ILOILO,,,MSP,"QUANTUM DIGITAL SERVICES, INC",
ZAMBOANGA DEL SUR,ORGANIC,MIN,ORGANIC,NEGROS OCCIDENTAL,,,MSP,CHARLIESAM CABLING SOLUTIONS INC,
BUKIDNON,"PRIME FIBER SOLUTIONS, INC.",MIN,,CEBU,,,MSP,J FIBER INTERNET SERVICES CORPORATION,
DAVAO DE ORO,URBAN TELECOM VENTURES INC,MIN,,NEGROS ORIENTAL,,,MSP,CHARLIESAM CABLING SOLUTIONS INC,
DAVAO DEL NORTE,URBAN TELECOM VENTURES INC,MIN,,BUKIDNON,,,MSP,"PRIME FIBER SOLUTIONS, INC.",
DAVAO DEL SUR,URBAN TELECOM VENTURES INC,MIN,,MISAMIS ORIENTAL,,,MSP,BLACKLINE REPUBLIC OPC,
Surigao Del Sur,JRT TELECOM ENTERPRISE INC (JRT),MIN,,LEYTE,,,MSP,J FIBER INTERNET SERVICES CORPORATION,
Dinagat Island,JRT TELECOM ENTERPRISE INC (JRT),MIN,,BOHOL,,,MSP,J FIBER INTERNET SERVICES CORPORATION,
Davao Oriental,URBAN TELECOM VENTURES INC,MIN,,METRO MANILA,,,,ORGANIC AREA,
Davao Occidental,URBAN TELECOM VENTURES INC,MIN,,Agusan Del Norte,,,MSP,JRT TELECOM ENTERPRISE INC (JRT),
Sultan Kudarat,FIDELITY TECHNICAL SERVICES CORP,MIN,,Agusan Del Sur,,,MSP,JRT TELECOM ENTERPRISE INC (JRT),
NEGROS OCCIDENTAL,CHARLIESAM CABLING SOLUTIONS INC,VIS,,Surigao Del Norte,,,MSP,JRT TELECOM ENTERPRISE INC (JRT),
NEGROS ORIENTAL,CHARLIESAM CABLING SOLUTIONS INC,VIS,,Surigao Del Sur,,,MSP,JRT TELECOM ENTERPRISE INC (JRT),
BOHOL,J FIBER INTERNET SERVICES CORPORATION,VIS,,Dinagat Island,,,MSP,JRT TELECOM ENTERPRISE INC (JRT),
CEBU,J FIBER INTERNET SERVICES CORPORATION,VIS,,Davao Del Norte,,,MSP,URBAN TELECOM VENTURES INC,
LEYTE,J FIBER INTERNET SERVICES CORPORATION,VIS,,DAVAO DEL SUR,,,MSP,URBAN TELECOM VENTURES INC,EXCEPT DAVAO DEL SUR
AKLAN,"QUANTUM DIGITAL SERVICES, INC",VIS,,Davao Oriental,,,MSP,URBAN TELECOM VENTURES INC,
CAPIZ,"QUANTUM DIGITAL SERVICES, INC",VIS,,Davao De Oro,,,MSP,URBAN TELECOM VENTURES INC,
ILOILO,"QUANTUM DIGITAL SERVICES, INC",VIS,,Davao Occidental,,,MSP,URBAN TELECOM VENTURES INC,
ABRA,GALLOPVISION SERVICES INC,NLZ,,Palawan,,,Super MSA-SLI,OPTIMUS,
APAYAO,GALLOPVISION SERVICES INC,NLZ,,OCCIDENTAL MINDORO,,,Super MSA-SLI,OPTIMUS,
BENGUET,GALLOPVISION SERVICES INC,NLZ,,North Cotabato,,,MSP,FIDELITY TECHNICAL SERVICES CORP,
CAGAYAN,GALLOPVISION SERVICES INC,NLZ,,SOUTH COTABATO,,,MSP,FIDELITY TECHNICAL SERVICES CORP,
IFUGAO,GALLOPVISION SERVICES INC,NLZ,,COTABATO,,,MSP,FIDELITY TECHNICAL SERVICES CORP,
ILOCOS NORTE,GALLOPVISION SERVICES INC,NLZ,,SARANGANI,,,MSP,FIDELITY TECHNICAL SERVICES CORP,
ILOCOS SUR,GALLOPVISION SERVICES INC,NLZ,,Sultan Kudarat,,,MSP,FIDELITY TECHNICAL SERVICES CORP,
ISABELA,GALLOPVISION SERVICES INC,NLZ,,LAGUNA,,NAGCARLAN,MSP,CONVERA BUSINESS MANAGEMENT SERVICES (OPC),
KALINGA,GALLOPVISION SERVICES INC,NLZ,,LAGUNA,,LILIW,MSP,CONVERA BUSINESS MANAGEMENT SERVICES (OPC),
MOUNTAIN PROVINCE,GALLOPVISION SERVICES INC,NLZ,,LAGUNA,,MAJAYJAY,MSP,CONVERA BUSINESS MANAGEMENT SERVICES (OPC),
NUEVA VIZCAYA,GALLOPVISION SERVICES INC,NLZ,,LAGUNA,,RIZAL,MSP,CONVERA BUSINESS MANAGEMENT SERVICES (OPC),
QUIRINO,GALLOPVISION SERVICES INC,NLZ,,LAGUNA,,LUISIANA,MSP,CONVERA BUSINESS MANAGEMENT SERVICES (OPC),
PANGASINAN,NORTHERLY DIGITAL SERVICES INC. (NDSI),NLZ,,QUEZON,,MAUBAN,MSP,CONVERA BUSINESS MANAGEMENT SERVICES (OPC),
LA UNION,"NORTHWAVE ADMINISTRATIVE SUPPORT SERVICES
(PC4ME)",NLZ,,QUEZON,,CANDELARIA,MSP,CONVERA BUSINESS MANAGEMENT SERVICES (OPC),
"METRO MANILA, FIRST DISTRICT",MYRIAD,NCR,MYRIAD,QUEZON,,CITY OF TAYABAS,MSP,CONVERA BUSINESS MANAGEMENT SERVICES (OPC),
"METRO MANILA, SECOND DISTRICT",MYRIAD,NCR,,QUEZON,,TIAONG,MSP,CONVERA BUSINESS MANAGEMENT SERVICES (OPC),
"METRO MANILA, THIRD DISTRICT",MYRIAD,NCR,,QUEZON,,DOLORES,MSP,CONVERA BUSINESS MANAGEMENT SERVICES (OPC),
"METRO MANILA, FOURTH DISTRICT",MYRIAD,NCR,,QUEZON,,LUCBAN,MSP,CONVERA BUSINESS MANAGEMENT SERVICES (OPC),
DAVAO CITY,WESTERN INTERWEB NETWORK. INC,MIN,,QUEZON,,SAN ANTONIO,MSP,CONVERA BUSINESS MANAGEMENT SERVICES (OPC),
HOLY SPIRIT,SEVEN E KOMP CORPORATION,NCR,,QUEZON,,SAMPALOC,MSP,CONVERA BUSINESS MANAGEMENT SERVICES (OPC),
NORTHERN SAMAR,ORGANIC,VIS,,CAVITE,,CARMONA,MSP,FASTEL SERVICES INC,
EASTERN SAMAR,ORGANIC,VIS,,CAVITE,,CITY OF BACOOR,MSP,FASTEL SERVICES INC,
NUEVA ECIJA,NORTHERLY DIGITAL SERVICES INC. (NDSI),NLZ,,CAVITE,,CITY OF CAVITE,MSP,FASTEL SERVICES INC,
SAMAR,ORGANIC,VIS,,CAVITE,,CITY OF GENERAL TRIAS,MSP,FASTEL SERVICES INC,
METRO MANILA,ORGANIC,NCR,,CAVITE,,GENERAL TRIAS,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,CITY OF IMUS,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,IMUS,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,IMUS CITY,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,CITY OF TRECE MARTIRES,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,GENERAL MARIANO ALVAREZ,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,KAWIT,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,NAIC,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,NOVELETA,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,ROSARIO,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,SILANG,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,TANZA,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,TERNATE,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,City Of Dasmariñas,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,CITY OF DASMARINAS,MSP,FASTEL SERVICES INC,
,,,,Cavite,,DUENAS,MSP,FASTEL SERVICES INC,
,,,,Cavite,,BASILISA,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,TRECE MARTIRES CITY (CAPITAL),MSP,FASTEL SERVICES INC,
,,,,CAVITE,,BACOOR,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,GEN. MARIANO ALVAREZ,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,IMUS,MSP,FASTEL SERVICES INC,
,,,,CAVITE,,SAN PASCUAL,MSP,FASTEL SERVICES INC,
,,,,QUEZON,,ATIMONAN,MSP,FOUR SRD CATV MANAGEMENT SERVICE,
,,,,QUEZON,,PLARIDEL,MSP,FOUR SRD CATV MANAGEMENT SERVICE,
,,,,QUEZON,,GUMACA,MSP,FOUR SRD CATV MANAGEMENT SERVICE,
,,,,QUEZON,,LOPEZ,MSP,FOUR SRD CATV MANAGEMENT SERVICE,
,,,,QUEZON,,CALAUAG,MSP,FOUR SRD CATV MANAGEMENT SERVICE,
,,,,QUEZON,,TAGKAWAYAN,MSP,FOUR SRD CATV MANAGEMENT SERVICE,
,,,,QUEZON,,GUINAYANGAN,MSP,FOUR SRD CATV MANAGEMENT SERVICE,
,,,,QUEZON,,BUENAVISTA,MSP,FOUR SRD CATV MANAGEMENT SERVICE,
,,,,LAGUNA,,ALAMINOS,MSP,LAKE COMMUNITY CABLE TV MULTI PURPOSE COOP,
,,,,LAGUNA,,CALAUAN,MSP,LAKE COMMUNITY CABLE TV MULTI PURPOSE COOP,
,,,,LAGUNA,,VICTORIA,MSP,LAKE COMMUNITY CABLE TV MULTI PURPOSE COOP,
,,,,LAGUNA,,CITY OF SAN PABLO,MSP,LAKE COMMUNITY CABLE TV MULTI PURPOSE COOP,
,,,,LAGUNA,,SAN PABLO CITY,MSP,LAKE COMMUNITY CABLE TV MULTI PURPOSE COOP,
,,,,QUEZON,,CITY OF LUCENA,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,SARIAYA,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,PAGBILAO,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,PADRE BURGOS,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,Agdangan,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,Unisan,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,Pitogo,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,Macalelon,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,General Luna,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,Catanauan,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,Mulanay,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,San Francisco,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,San Narciso,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,San Andres,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,Infanta,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,Real,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,QUEZON,,General Nakar,MSP,LUCBITZ INTERNET COMMUNICATIONS SERVICES,
,,,,CAVITE,,CITY OF TAGAYTAY,MSP,MOUNTAINTOP CABLE TV NETWORKS,
,,,,CAVITE,,ALFONSO,MSP,MOUNTAINTOP CABLE TV NETWORKS,
,,,,CAVITE,,MENDEZ,MSP,MOUNTAINTOP CABLE TV NETWORKS,
,,,,CAVITE,,AMADEO,MSP,MOUNTAINTOP CABLE TV NETWORKS,
,,,,CAVITE,,INDANG,MSP,MOUNTAINTOP CABLE TV NETWORKS,
,,,,CAVITE,,MARAGONDON,MSP,MOUNTAINTOP CABLE TV NETWORKS,
,,,,CAVITE,,GENERAL EMILIO AGUINALDO,MSP,MOUNTAINTOP CABLE TV NETWORKS,
,,,,CAVITE,,BAILEN,MSP,MOUNTAINTOP CABLE TV NETWORKS,
,,,,CAVITE,,MAGALLANES,MSP,MOUNTAINTOP CABLE TV NETWORKS,
,,,,LAGUNA,,BAY,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,CITY OF CABUYAO,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,CITY OF CALAMBA,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,CITY OF SAN PEDRO,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,CITY OF SANTA ROSA,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,FAMY,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,KALAYAAN,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,LUMBAN,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,PAGSANJAN,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,PAKIL,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,PANGIL,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,PILA,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,SANTA CRUZ,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,SANTA MARIA,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,SINILOAN,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,PAETE,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,MAGDALENA,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,MABITAC,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,CAVINTI,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,Los Baños,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,City Of Biñan,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,CITY OF BINAN,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,LOS BANOS,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,CALAMBA,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,SANTA ROSA,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,LAGUNA,,CONCEPCION,MSP,OLYMPIAN ICT SOLUTIONS INC,
,,,,DAVAO DEL SUR,,CITY OF DAVAO,MSP,WESTERN INTERWEB NETWORK. INC,
,,,,LANAO DEL SUR,,,,ORGANIC AREA,
,,,,ZAMBOANGA DEL SUR,,,,ZAMBOANGA DEL SUR,
,,,,"METRO MANILA, FIRST DISTRICT",,,,MYRIAD LIMITED INC.,
,,,,"METRO MANILA, SECOND DISTRICT",,,,MYRIAD LIMITED INC.,
,,,,"METRO MANILA, THIRD DISTRICT",,,,MYRIAD LIMITED INC.,
,,,,"METRO MANILA, FOURTH DISTRICT",,,,MYRIAD LIMITED INC.,
,,,,METRO MANILA,HOLY SPIRIT,,MSP,SEVEN E KOMP CORPORATION,
,,,,SAMAR,,,,SAMAR,
,,,,NORTHERN SAMAR,,,,SAMAR,
